['', 'Yizeng Li', 'Update documentation']
['Ruben Reusser', 'djp918', "Merge branch 'develop' into issues/114"]
['Gautam Singh', 'Tim Leslie', "Merge branch 'master' into gautamsi/add-facebook-login"]
['Gautam Singh', 'Tim Leslie', "Merge branch 'master' into gautamsi/add-facebook-login"]
['Gautam Singh', 'Tim Leslie', "Merge branch 'master' into gautamsi/add-facebook-login"]
['Gautam Singh', 'Tim Leslie', "Merge branch 'master' into gautamsi/add-facebook-login"]
['Tim Leslie', 'Gautam Singh', "Merge branch 'master' into gautamsi/add-facebook-login"]
['Gautam Singh', 'Tim Leslie', "Merge branch 'master' into gautamsi/add-facebook-login"]
['Gee', 'Giulia Santin', "Merge branch 'master' of https://github.com/MBE2FL/GoNuts"]
['Gee', 'Max Kemp', "Merge branch 'master' of https://github.com/MBE2FL/GoNuts"]
['Giulia Santin', 'Max Kemp', "Merge branch 'master' of https://github.com/MBE2FL/GoNuts"]
['GeekUniversity', 'kelly422', 'Add files via upload']
['GeekUniversity', 'kelly422', 'Add files via upload']
['Mike Pirog', 'Dustin LeBlanc', "Merge branch 'master' into 709/states"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['Geoffrey DUBAUX - Axelor', 'Arthur Lefebvre', "Merge branch 'master' into 5.1-dev"]
['robertbolan-bits', 'welchyd', "Merge branch 'master' into os454_Column_Association"]
['robertbolan-bits', 'Robert Bolan', "Merge branch 'master' into os454_Column_Association"]
['Robert Bolan', 'robertbolan-bits', "Merge branch 'master' into rm43904_Add_Color_Annotation"]
['robertbolan-bits', 'welchyd', "Merge branch 'master' into os454_Column_Association"]
['robertbolan-bits', 'Robert Bolan', "Merge branch 'master' into os454_Column_Association"]
['Robert Bolan', 'robertbolan-bits', "Merge branch 'master' into rm43904_Add_Color_Annotation"]
['welchyd', 'robertbolan-bits', "Merge branch 'master' into os454_Column_Association"]
['welchyd', 'Robert Bolan', "Merge branch 'master' into os454_Column_Association"]
['robertbolan-bits', 'Robert Bolan', "Merge branch 'master' into os454_Column_Association"]
['George Dunlap', 'Andrew Cooper', "Re: [Xen-devel] [PATCH-for-4.13] x86/mm: don't needlessly veto\n migration"]
['Simon Duquennoy', 'George Oikonomou', "Merge branch 'develop' into bugfix/simplelink/board"]
['Georgia Sampaio', 'Georgia', "Merge branch 'student-data' of https://github.com/willcrichton/autoplan into student-data"]
['Georgia Sampaio', 'Georgia', "Merge branch 'student-data' of https://github.com/willcrichton/autoplan into student-data"]
['Gerard Abelló', 'David Sancho', "Merge branch 'master' into bet-ideas"]
['Gerard Abelló', 'David Sancho', "Merge branch 'master' into bet-ideas"]
['Gergely Békési', 'Gergely Bekesi', "Merge branch 'master' into create-initial-activity-event"]
['Jesse Tan', 'Gergely Csatari', "Merge branch 'master' into header-background"]
['Stefan Baumgartner', 'Hannes Sachsenhofer', 'Update community.yml']
['Marialetsandra Carrazco', 'Yolanda Bustamante', "Merge branch 'develop' of https://github.com/ggallovalle/sigra into develop"]
['Qi Xiao', 'Ggicci', "Merge branch 'develop' into feature/transactionTimestamp"]
['auxten', 'zeqing-guo', "Merge remote-tracking branch 'origin/develop' into bugfix/matchInconsistent"]
['auxten', 'zeqing-guo', "Merge remote-tracking branch 'origin/develop' into bugfix/matchInconsistent"]
['BryantLAP', 'plbryantPC', 'Paypal sin terminar']
['Ghostkeeper', 'Diego Prado Gesto', "Merge branch 'master' into CURA-6329_add_crystallinity_setting"]
['Ghostkeeper', 'Diego Prado Gesto', "Merge branch 'master' into CURA-6329_add_crystallinity_setting"]
['Samuele Ceroni', 'Giacomo Aloisi', "Merge branch 'master' into samueleceroni/editor/fix"]
['Gigteg', 'Yanko', 'homework3']
['Gil Meir', 'Nitay Neeman', 'Update CHANGELOG.md']
['Gil Meir', 'TalZa', 'Update CHANGELOG.md']
['Nitay Neeman', 'TalZa', 'Update CHANGELOG.md']
['Antônio Roberto', 'Antonio Roberto Silva', 'redist']
['Antônio Roberto', 'Antonio Roberto Silva', 'redist']
['Vinicius Pierina', 'Ariel Molina', "Merge branch 'features/122-CreateViewModelContractHolder' into ci/api-contractholder"]
['Vinicius Pierina', 'Ariel Molina', "Merge branch 'features/122-CreateViewModelContractHolder' into ci/api-contractholder"]
['Vinicius Pierina', 'Ariel Molina', "Merge branch 'features/122-CreateViewModelContractHolder' into ci/api-contractholder"]
['Vinicius Pierina', 'Ariel Molina', "Merge branch 'features/122-CreateViewModelContractHolder' into ci/api-contractholder"]
['Vinicius Pierina', 'Ariel Molina', "Merge branch 'features/122-CreateViewModelContractHolder' into ci/api-contractholder"]
['Vinicius Pierina', 'Ariel Molina', "Merge branch 'features/122-CreateViewModelContractHolder' into ci/api-contractholder"]
['Vinicius Pierina', 'Ariel Molina', "Merge branch 'features/122-CreateViewModelContractHolder' into ci/api-contractholder"]
['Vinicius Pierina', 'Ariel Molina', "Merge branch 'features/122-CreateViewModelContractHolder' into ci/api-contractholder"]
['ldbs', 'leonardobarros11', "Merge branch 'develop' into features/199-FixFrontEndValidations"]
['ldbs', 'GilbertoYabiku', "Merge branch 'develop' into features/193-SendADeleteRequestToApi"]
['Gilles Caulier', 'Maik Qualmann', 'polish']
['Maik Qualmann', 'Gilles Caulier', 'update']
['Maik Qualmann', 'Gilles Caulier', 'update']
['Gilles Caulier', 'Maik Qualmann', 'update']
['Gilles Caulier', 'Maik Qualmann', 'update']
['Maik Qualmann', 'Gilles Caulier', 'update']
['Maik Qualmann', 'Gilles Caulier', 'update']
['Giovanni Bussi', 'carlocamilloni', "Merge branch 'v2.5'"]
['jocelyn castelettii', 'gabagonzalez', "Merge branch 'develop' of https://github.com/gisellem22/SCL009-Otras-Miradas into develop"]
['jocelyn castelettii', 'Giselle Machado', "Merge branch 'develop' of https://github.com/gisellem22/SCL009-Otras-Miradas into develop"]
['gabagonzalez', 'Giselle Machado', "Merge branch 'develop' of https://github.com/gisellem22/SCL009-Otras-Miradas into develop"]
['Matt Desmond', 'Locness', 'Update CONTRIBUTING.md']
['Matt Desmond', 'Locness', 'Update CONTRIBUTING.md']
['Matt Desmond', 'Rui Shu', 'Update CONTRIBUTING.md']
['Matt Desmond', 'Rui Shu', 'Update CONTRIBUTING.md']
['Matt Desmond', 'Rui Shu', 'Update CONTRIBUTING.md']
['Matt Desmond', 'Seaky700', 'Update CONTRIBUTING.md']
['Matt Desmond', 'Seaky700', 'Update CONTRIBUTING.md']
['Matt Desmond', 'gihriami', 'Update CONTRIBUTING.md']
['Matt Desmond', 'gihriami', 'Update CONTRIBUTING.md']
['GitHub issues - opened', 'GitHub issues - edited', '[alsa-devel] Is period_size bytes per period or frames per period?']
['Gleb Urvanov', 'Jakub Pánik', "Merge branch 'dev' into feature/data_age_setting"]
['HaeSoo Kim', 'Harrison', "Merge branch 'googlemapsapi' of https://github.com/hsookim90/2019summer_restaurant_menu into googlemapsapi"]
['JimboJoe', 'Maniack Crudelis', 'Typo fix']
['Laurent Mignon (ACSONE)', 'acsone-git-bot', 'addons symlinks']
['Laurent Mignon (ACSONE)', 'acsone-git-bot', 'addons symlinks']
['Laurent Mignon (ACSONE)', 'acsone-git-bot', 'addons symlinks']
['Laurent Mignon (ACSONE)', 'acsone-git-bot', 'addons symlinks']
['Laurent Mignon (ACSONE)', 'acsone-git-bot', 'addons symlinks']
['Grace-Angulu', 'Marvino98', 'Update calculator.py']
['Graham Wallis', 'Mandy Chessell', "Merge branch 'master' into issue_1542"]
['Graham Wallis', 'Mandy Chessell', "Merge branch 'master' into issue_1542"]
['Graham Wallis', 'Mandy Chessell', "Merge branch 'master' into issue_1542"]
['Greg Alexander', 'Samnan', 'upgrade to androidx']
['Phil Boutros', 'Greg Baker', "Merge branch 'master' into deployed-2017"]
['Phil Boutros', 'Greg Baker', "Merge branch 'master' into deployed-2017"]
['Phil Boutros', 'Greg Baker', "Merge branch 'master' into deployed-2017"]
['Phil Boutros', 'Greg Baker', "Merge branch 'master' into deployed-2017"]
['Phil Boutros', 'Greg Baker', "Merge branch 'master' into deployed-2017"]
['Phil Boutros', 'Greg Baker', "Merge branch 'master' into deployed-2017"]
['Phil Boutros', 'Greg Baker', "Merge branch 'master' into deployed-2017"]
['Greg Baker', 'Phil Boutros', "Merge branch 'master' into deployed-2017"]
['Greg Baker', 'Phil Boutros', "Merge branch 'master' into deployed-2017"]
['Greg Baker', 'Phil Boutros', "Merge branch 'master' into deployed-2017"]
['Greg Baker', 'Phil Boutros', "Merge branch 'master' into deployed-2017"]
['Greg Baker', 'Phil Boutros', "Merge branch 'master' into deployed-2017"]
['Greg Baker', 'Phil Boutros', "Merge branch 'master' into deployed-2017"]
['Greg Baker', 'Phil Boutros', "Merge branch 'master' into deployed-2017"]
['Greg Baker', 'Phil Boutros', "Merge branch 'master' into deployed-2017"]
['Peter Xu', 'Sean Christopherson', 'Re: [PATCH v2 00/17] KVM: Dirty ring interface']
['Andrii Nakryiko', 'Arnaldo Carvalho de Melo', 'Re: [PATCH] libbpf: Fix build on read-only filesystems']
['Greg Kroah-Hartman', 'Christoph Hellwig', 'Re: [PATCH] staging: exfat: add exfat filesystem code to staging']
['Greg Reinbach', 'Domenico', "Merge branch 'develop' into 10174-results-doc"]
['Greg Reinbach', 'Robert Avram', "Merge branch 'develop' into 10174-results-doc"]
['Greg Reinbach', 'Domenico', "Merge branch 'develop' into 10174-results-doc"]
['Greg Reinbach', 'Robert Avram', "Merge branch 'develop' into 10174-results-doc"]
['Domenico', 'Robert Avram', "Merge branch 'develop' into 10174-results-doc"]
['Greg Reinbach', 'Robert Avram', "Merge branch 'develop' into 9017-action-point-xlsx"]
['Greg Saldutte', 'Tashfeen Saeed', "Merge branch 'master' of github.com:gregsaldutte/puzzles"]
['Greg Saldutte', 'Sixun Tang', "Merge branch 'master' of github.com:gregsaldutte/puzzles"]
['Tashfeen Saeed', 'Sixun Tang', "Merge branch 'master' of github.com:gregsaldutte/puzzles"]
['Adrien Walkowiak', 'Gregg Kowalski', "Merge branch 'master' into restricted-fw-rule"]
['Gregg Kowalski', 'Adrien Walkowiak', "Merge branch 'master' into restricted-fw-rule"]
['Gregg Kowalski', 'Adrien Walkowiak', "Merge branch 'master' into restricted-fw-rule"]
['Gregory Adam Scott', 'Sudasana', 'Update armcom2.py']
['Gregory Adam Scott', 'Sudasana', 'Update armcom2.py']
['Gregory Adam Scott', 'Sudasana', 'Update armcom2.py']
['Gregory Adam Scott', 'Sudasana', 'Update armcom2.py']
['Gregory Adam Scott', 'Sudasana', 'Update armcom2.py']
['Gregory Adam Scott', 'Sudasana', 'Update armcom2.py']
['Gregory Adam Scott', 'Sudasana', 'Update armcom2.py']
['Gregory Adam Scott', 'Sudasana', 'Update armcom2.py']
['Grodzovsky, Andrey', 'Neil Armstrong', 'Re: drm_sched with panfrost crash on T820']
['Gu', 'Gueys', 'xxx']
['Gu', 'Gueys', 'xxx']
['Gu', 'Gueys', 'xxx']
['Gu', 'Gueys', 'xxx']
['Gu', 'Gueys', 'xxx']
['Gu', 'Gueys', 'xxx']
['Guilherme Caixeta', 'GuilhermeCaixeta', 'Update project']
['Guilherme Caixeta', 'GuilhermeCaixeta', 'Update project']
['Tim LaRock', 'Stefan McCabe', "Merge branch 'master' into master"]
['Guillaume Da Silva', 'IKEDA Hiroki', "Merge branch 'master' into scene-fog"]
['Guillaume Da Silva', 'IKEDA Hiroki', "Merge branch 'master' into scene-fog"]
['Guillaume Da Silva', 'IKEDA Hiroki', "Merge branch 'master' into git-multi-env-setup"]
['Guillaume Da Silva', 'IKEDA Hiroki', "Merge branch 'master' into git-multi-env-setup"]
['Gumga IT', 'Kolecha', 'merge']
['Gumga IT', 'Kolecha', 'merge']
['Gumga IT', 'Kolecha', 'merge']
['Gumga IT', 'Kolecha', 'merge']
['Gummibeer', 'Tom Witkowski', 'disable phan']
['Gunnstein Lye', 'Marek Nocon', "Merge branch '1.5' into 1.11"]
['Gunnstein Lye', 'Marek Nocon', "Merge branch '1.11' into 2.3"]
['Gunnstein Lye', 'Marek Nocon', "Merge branch '2.3' into 2.4"]
['Gunnstein Lye', 'Marek Nocon', "Merge branch '2.4'"]
['Gunter Zeilinger', 'Vrinda', 'Suppress misleading Audit message on receive of instances rejected by a previous received Rejection Note #2083']
['GurpreetKooner', 'Bitan Sarkar', 'Update README.md']
['GurpreetKooner', 'kv6737', 'Update README.md']
['GurpreetKooner', 'ayush-srivastava99', 'Update README.md']
['GurpreetKooner', 'TanuSharma2511', 'Update README.md']
['GurpreetKooner', 'becauseim-batman', 'Update README.md']
['GurpreetKooner', 'Bitan Sarkar', 'Update README.md']
['GurpreetKooner', 'kv6737', 'Update README.md']
['GurpreetKooner', 'ayush-srivastava99', 'Update README.md']
['GurpreetKooner', 'TanuSharma2511', 'Update README.md']
['GurpreetKooner', 'becauseim-batman', 'Update README.md']
['Bitan Sarkar', 'kv6737', 'Update README.md']
['Bitan Sarkar', 'ayush-srivastava99', 'Update README.md']
['Bitan Sarkar', 'TanuSharma2511', 'Update README.md']
['Bitan Sarkar', 'becauseim-batman', 'Update README.md']
['kv6737', 'ayush-srivastava99', 'Update README.md']
['kv6737', 'TanuSharma2511', 'Update README.md']
['kv6737', 'becauseim-batman', 'Update README.md']
['ayush-srivastava99', 'TanuSharma2511', 'Update README.md']
['ayush-srivastava99', 'becauseim-batman', 'Update README.md']
['maheshwar2611', 'Ayush Agarwal', 'Updated file.html']
['maheshwar2611', 'HIMANSHU JOSHI', 'Updated file.html']
['maheshwar2611', 'Aadhar Bupkis Bhatnagar', 'Updated file.html']
['Ayush Agarwal', 'HIMANSHU JOSHI', 'Updated file.html']
['Ayush Agarwal', 'Aadhar Bupkis Bhatnagar', 'Updated file.html']
['Huzaifa78', 'Rahul Kumar Tiwari', 'updated']
['TanuSharma2511', 'becauseim-batman', 'Update README.md']
['Chethana96', 'Ruthwik Kancharla', 'Update file.html']
['HIMANSHU JOSHI', 'Aadhar Bupkis Bhatnagar', 'Updated file.html']
['GurpreetKooner', 'Bitan Sarkar', 'Update README.md']
['GurpreetKooner', 'kv6737', 'Update README.md']
['GurpreetKooner', 'ayush-srivastava99', 'Update README.md']
['GurpreetKooner', 'afifcasharaf', 'Update README.md']
['GurpreetKooner', 'Bitan Sarkar', 'Update README.md']
['GurpreetKooner', 'kv6737', 'Update README.md']
['GurpreetKooner', 'ayush-srivastava99', 'Update README.md']
['GurpreetKooner', 'afifcasharaf', 'Update README.md']
['Bitan Sarkar', 'kv6737', 'Update README.md']
['Bitan Sarkar', 'ayush-srivastava99', 'Update README.md']
['Bitan Sarkar', 'afifcasharaf', 'Update README.md']
['kv6737', 'ayush-srivastava99', 'Update README.md']
['kv6737', 'afifcasharaf', 'Update README.md']
['ayush-srivastava99', 'afifcasharaf', 'Update README.md']
['maheshwar2611', 'Ayush Agarwal', 'Updated file.html']
['Abhijeetprashar', 'Guptacoder', 'updated file.html']
['Guptacoder', 'cdaman', 'Update file.html']
['GurpreetKooner', 'Bitan Sarkar', 'Update README.md']
['GurpreetKooner', 'kv6737', 'Update README.md']
['GurpreetKooner', 'ayush-srivastava99', 'Update README.md']
['GurpreetKooner', 'afifcasharaf', 'Update README.md']
['GurpreetKooner', 'Bitan Sarkar', 'Update README.md']
['GurpreetKooner', 'kv6737', 'Update README.md']
['GurpreetKooner', 'ayush-srivastava99', 'Update README.md']
['GurpreetKooner', 'afifcasharaf', 'Update README.md']
['Bitan Sarkar', 'kv6737', 'Update README.md']
['Bitan Sarkar', 'ayush-srivastava99', 'Update README.md']
['Bitan Sarkar', 'afifcasharaf', 'Update README.md']
['kv6737', 'ayush-srivastava99', 'Update README.md']
['kv6737', 'afifcasharaf', 'Update README.md']
['ayush-srivastava99', 'afifcasharaf', 'Update README.md']
['maheshwar2611', 'ashraf261297', 'Updated file.html']
['divas18', 'Abhijeetprashar', 'updated file.html']
['divas18', 'Guptacoder', 'updated file.html']
['Abhijeetprashar', 'Guptacoder', 'updated file.html']
['Guy', 'GuyDahn', "Merge branch 'master' into style"]
['Corina', 'William Wong', 'Update CHANGELOG.md']
['William Wong', 'Corina', 'Update CHANGELOG.md']
['Gwzwnglai-AuBurn', 'Harshit Joshi', 'Added my name']
['Gwzwnglai-AuBurn', 'Yatharth Rai', "Merge branch 'master' into master"]
['Gwzwnglai-AuBurn', 'Alcatrez97', "Merge branch 'master' into master"]
['YaminiShrestha31', 'Alcatrez97', 'Update README.md']
['YaminiShrestha31', 'Alcatrez97', 'Update README.md']
['Yatharth Rai', 'Alcatrez97', "Merge branch 'master' into master"]
['Gyt', 'GuYuteng', 'translate']
['Gyt', 'GuYuteng', 'translate']
['Gyt', 'GuYuteng', 'translate']
['Gyt', 'GuYuteng', 'translate']
['Gyt', 'GuYuteng', 'translate']
['GuYuteng', 'Gyt', 'translate']
['GuYuteng', 'Gyt', 'translate']
['HNoodles', '张思源', 'optimized some code styles']
['haimkastner', 'Haim Kastnet', "Merge branch 'dev-v2' into dev-v2-frontend"]
['haimkastner', 'Haim Kastnet', "Merge branch 'dev-v2' into dev-v2-frontend"]
['haimkastner', 'Haim Kastnet', "Merge branch 'dev-v2' into dev-v2-frontend"]
['haimkastner', 'Haim Kastnet', "Merge branch 'dev-v2' into dev-v2-frontend"]
['haimkastner', 'Haim Kastnet', "Merge branch 'dev-v2' into dev-v2-frontend"]
['haimkastner', 'Haim Kastnet', "Merge branch 'dev-v2' into dev-v2-frontend"]
['haimkastner', 'Haim Kastnet', "Merge branch 'dev-v2' into dev-v2-frontend"]
['dependabot-preview[bot]', 'Haishan', 'build: upgrade deps']
['dependabot-preview[bot]', 'Haishan', 'build: upgrade deps']
['eric tinoco', 'HakaruShokku', "Merge branch 'master' of https://github.com/gerhernandez/PNL into dialogue"]
['eric tinoco', 'HakaruShokku', "Merge branch 'dialogue' of https://github.com/gerhernandez/PNL into dialogue"]
['borge', 'borgeha', 'Fra forelesning']
['borge', 'borgeha', 'Fra forelesning']
['luke_fent', 'Loui-Koutsouflakis', "Merge branch 'master' into Luke_F"]
['magei00', 'Vladislav Zenkevic', "Merge branch 'master' of https://github.com/DADIU-2019-Team-4/GraduationGame"]
['Maximilian Grundke', 'Martin Malchow', "Merge branch 'develop' into bugfix/sc-1327"]
['Maximilian Grundke', 'Martin Malchow', "Merge branch 'develop' into bugfix/sc-1327"]
['Hans A', 'Nyaba', 'Deleted embedded thumbnail image from JSON configuration file.']
['Harold Thetiot', 'Harold Thétiot', "Merge branch 'master' into task/ios-13"]
['Harold Thetiot', 'Harold Thétiot', "Merge branch 'master' into task/ios-13"]
['Harold Thétiot', 'Harold Thetiot', "Merge branch 'master' into task/ios-13"]
['Harold Thétiot', 'Harold Thetiot', "Merge branch 'master' into task/ios-13"]
['Harsh Vitra', 'Norbert Schuler', "Merge branch 'develop' into feature/competitionRefreshControl"]
['Harshad Reddy Nalla', 'Fridolín Pokorný', "Merge branch 'master' into backup-file-storage"]
['Harshad Reddy Nalla', 'Fridolín Pokorný', "Merge branch 'master' into backup-file-storage"]
['Harshad Reddy Nalla', 'Fridolín Pokorný', "Merge branch 'master' into backup-file-storage"]
['Harshad Reddy Nalla', 'Fridolín Pokorný', "Merge branch 'master' into backup-file-storage"]
['Harvey Zack', 'DIYgod', "Merge branch 'master' into master"]
['Harvey Zack', 'DIYgod', "Merge branch 'master' into master"]
['Harvey Zack', 'DIYgod', "Merge branch 'master' into master"]
['Hashimoto Mizuki', 'hashimoto', 'initial']
['Lukas', 'Hassan Sani', "Merge branch 'master' into darknetDiaries"]
['Jess Tate', 'Dan White', "Merge branch 'master' into redViewSceneFix2"]
['Frederic Weisbecker', 'Thomas Gleixner', 'Re: [patch 6/6] posix-cpu-timers: Make PID=0 and PID=self handling\n consistent']
['Heather Battaglia', 'Heather Billings', "Merge branch 'master' into hjb/normalize-headings"]
['Heather Walls', 'Thomas Dourgarian', "Merge branch 'master' into feature-sass"]
['Heather Walls', 'Thomas Dourgarian', "Merge branch 'master' into feature-sass"]
['Hector Castro', 'Rocky Breslow', '0.1.0']
['Erich Gamma', 'helen3141', "Merge branch 'master' into runNpmFromContextMenu"]
['Erich Gamma', 'helen3141', "Merge branch 'master' into runNpmFromContextMenu"]
['Helen Zeng (shang hai wei chuang ruan jian)', 'helen', 'update1']
['Helen Zeng (shang hai wei chuang ruan jian)', 'helen', 'update2']
['Henrik Andreasson', 'Federico Pecora', "Merge branch 'master' of https://github.com/OrebroUniversity/navigation_oru-release"]
['Henrique Medeiros', 'Henrique', "Merge branch 'master' into Flight-Index-Buy"]
['Henry', 'andrewdimaio', "Merge remote-tracking branch 'origin/TestMaster' into Henrydev"]
['Mike Carcasole', 'Kevin Greer', "Merge branch 'master' of https://github.com/foam-framework/foam2"]
['HenryHRich', 'kbi', "Merge branch 'master' of jsoftware.com:jsource"]
['HenryHRich', 'kbi', "Merge branch 'master' of jsoftware.com:jsource"]
['Hermes Jimenez', 'Manuel Almanzar', "Merge remote-tracking branch 'origin/staging' into dev-clarisa"]
['Manuel Almanzar', 'Hermes Jimenez', "Merge remote-tracking branch 'origin/staging' into dev-clarisa"]
['Manuel Almanzar', 'Hermes Jimenez', "Merge remote-tracking branch 'origin/staging' into dev-clarisa"]
['Manuel Almanzar', 'Hermes Jimenez', "Merge remote-tracking branch 'origin/staging' into dev-clarisa"]
['Manuel Almanzar', 'Hermes Jimenez', "Merge remote-tracking branch 'origin/staging' into dev-clarisa"]
['Manuel Almanzar', 'Hermes Jimenez', "Merge remote-tracking branch 'origin/staging' into dev-clarisa"]
['Manuel Almanzar', 'Hermes Jimenez', "Merge remote-tracking branch 'origin/staging' into dev-clarisa"]
['HiImKwon', "NICK O'DONOGHUE", "Merge branch 'master' into programming/quanbui_2"]
['HiImKwon', 'nodonogh', "Merge branch 'master' into programming/quanbui_2"]
['HiImKwon', 'nodonogh', "Merge branch 'master' into programming/quanbui_2"]
['HiImKwon', 'nodonogh', "Merge branch 'master' into programming/quanbui_2"]
['HiImKwon', 'nodonogh', "Merge branch 'master' into programming/quanbui_2"]
['HiImKwon', "NICK O'DONOGHUE", "Merge branch 'master' into programming/quanbui_2"]
['HiImKwon', 'nodonogh', "Merge branch 'master' into programming/quanbui_2"]
['HiImKwon', 'nodonogh', "Merge branch 'master' into programming/quanbui_2"]
['HiImKwon', 'nodonogh', "Merge branch 'master' into programming/quanbui_2"]
['HiImKwon', 'nodonogh', "Merge branch 'master' into programming/quanbui_2"]
["NICK O'DONOGHUE", 'nodonogh', "Merge branch 'master' into programming/quanbui_2"]
["NICK O'DONOGHUE", 'nodonogh', "Merge branch 'master' into programming/quanbui_2"]
["NICK O'DONOGHUE", 'nodonogh', "Merge branch 'master' into programming/quanbui_2"]
["NICK O'DONOGHUE", 'nodonogh', "Merge branch 'master' into programming/quanbui_2"]
['srvbpigh', 'Lisandro', 'Moderator Feedback']
['srvbpigh', 'Lisandro', 'Moderator Feedback']
['Chung Ho', 'Ho Minh Chung', "Merge branch 'develop'"]
['Ho TIng Lok', 'Chris Hinds', "Merge branch 'latest' into ReactWarning2765"]
['Ho TIng Lok', 'Drew McMillan', "Merge branch 'latest' into ReactWarning2760"]
['Ho TIng Lok', 'Drew McMillan', "Merge branch 'latest' into ReactWarning2760"]
['Ho TIng Lok', 'Drew McMillan', "Merge branch 'latest' into ReactWarning2760"]
['Ho TIng Lok', 'Drew McMillan', "Merge branch 'latest' into ReactWarning2760"]
['Ho TIng Lok', 'Fahad', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Fahad', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Silpa', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Fahad', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Amy Walker', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Sareh', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Fahad', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Fahad', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Silpa', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Fahad', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Amy Walker', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Sareh', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Fahad', 'Ho TIng Lok', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Fahad', 'Silpa', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Fahad', 'Amy Walker', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Fahad', 'Ho TIng Lok', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Fahad', 'Sareh', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Fahad', 'Ho TIng Lok', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Fahad', 'Silpa', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Fahad', 'Amy Walker', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Fahad', 'Ho TIng Lok', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Fahad', 'Sareh', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Silpa', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Fahad', "Merge branch 'latest' into Bump3rdPartyDeps"]
['Ho TIng Lok', 'Amy Walker', "Merge branch 'latest' into Bump3rdPartyDeps"]
